daily,index,cumsum,cs_mv14d,d_mv14d,cs_savgol,d_savgol
6679,221,160442,166982.5,6655.14285714287,158364.39816730763,6086.62732943485
7952,222,168394,174350.92857142858,7368.42857142858,165372.99197039247,7008.593803084834
4370,223,172764,182176.2142857143,7825.28571428571,173038.43459464086,7665.44262424839
2439,224,175203,190235.2142857143,8059.0,180489.99218269673,7451.557588055875
9872,225,185075,199045.0,8809.78571428571,188530.43136651235,8040.439183815615
12778,226,197853,208843.5,9798.5,197666.04177932497,9135.610412812617
12533,227,210386,219408.0,10564.5,207908.3782775201,10242.33649819513
12027,228,222413,230760.7857142857,11352.78571428571,218946.14566070164,11037.767383181548
13738,229,236151,242892.92857142858,12132.14285714287,230941.55509628638,11995.409435584734
8124,230,244275,255538.07142857142,12645.14285714284,243512.75690573215,12571.201809445774
4339,231,248614,268357.5714285714,12819.5,256227.7594502235,12715.002544491348
15824,232,264438,281889.4285714286,13531.85714285716,269796.591812736,13568.832362512505
19600,233,284038,296093.5714285714,14204.14285714284,284232.63775300427,14436.04594026826
17628,234,301666,310686.9285714286,14593.35714285716,299485.19856492797,15252.5608119237
17715,235,319381,325497.9285714286,14811.0,315275.7121230867,15790.51355815871
18863,236,338244,340426.78571428574,14928.85714285716,331521.5532494256,16245.841126338928
11552,237,349796,355225.9285714286,14799.14285714284,347928.10732284666,16406.55407342105
4880,238,354676,369905.21428571426,14679.285714285681,364307.30257733585,16379.195254489197
19845,239,374521,384442.9285714286,14537.714285714319,380803.67790708126,16496.37532974541
22190,240,396711,398443.64285714284,14000.71428571426,396868.6226405333,16064.944733452052
17982,241,414693,411843.28571428574,13399.642857142899,411813.19976389356,14944.577123360243
15074,242,429767,424523.5714285714,12680.285714285681,425702.64049540844,13889.440731514886
15388,243,445155,436330.64285714284,11807.07142857142,438575.5809505617,12872.940455153235
6308,244,451463,447529.9285714286,11199.28571428574,450323.8036526344,11748.2227020727
2661,245,454124,458484.14285714284,10954.21428571426,461216.7442674873,10892.940614852938
13842,246,467966,468636.0714285714,10151.92857142858,471490.35421813023,10273.609950642916
12082,247,480048,477750.28571428574,9114.214285714319,480403.8401651803,8913.485947050096
9213,248,489261,485723.0,7972.714285714261,488084.7360241365,7680.895858956152
7644,249,496905,493080.9285714286,7357.92857142858,494789.0754719317,6704.339447795239
6638,250,503543,499746.5714285714,6665.6428571428405,500708.6949655335,5919.6194936017855
3043,251,506586,506130.21428571426,6383.6428571428405,506141.0271916135,5432.332226080005
1449,252,508035,512399.0,6268.785714285739,511736.7743976962,5595.747206082684
8613,253,516648,518095.5,5696.5,517740.37486424553,6003.600466549338
7662,254,524310,523273.5,5178.0,522987.9506263173,5247.575762071763
2001,255,526311,528056.3571428572,4782.8571428571595,527695.9555763985,4708.004950081231
6467,256,532778,532508.0,4451.6428571428405,532081.6279379165,4385.6723615180235
5696,257,538474,536705.1428571428,4197.1428571428405,536236.056009018,4154.428071101429
2360,258,540834,540774.7857142857,4069.6428571428405,540169.0886272987,3933.032618280733
1053,259,541887,544782.7142857143,4007.928571428638,544346.7360370232,4177.647409724537
5830,260,547717,548457.1428571428,3674.4285714285215,548644.2531431052,4297.517106081941
4823,261,552540,551788.9285714285,3331.785714285681,552228.6807572909,3584.4276141857263
3681,262,556221,555168.4285714285,3379.5,555454.9925697813,3226.3118124903413
3007,263,559228,558258.2857142857,3089.8571428571595,558381.0575920208,2926.065022239578
3075,264,562303,561135.8571428572,2877.5714285714785,561092.997760041,2711.940168020199
1258,265,563561,563916.3571428572,2780.5,563656.3066252501,2563.30886520911
585,266,564146,566661.3571428572,2745.0,566189.797358739,2533.490733488812
3944,267,568090,569224.6428571428,2563.285714285681,568762.0853427979,2572.2879840589594
2865,268,570955,571635.0,2410.3571428571595,570953.139536201,2191.054193403106
2669,269,573624,573968.0,2333.0,573107.7738438174,2154.6343076163903
2412,270,576036,576254.8571428572,2286.8571428571595,575432.4997077454,2324.7258639279753
2724,271,578760,578504.1428571428,2249.285714285681,577566.2426008348,2133.742893089424
1001,272,579761,580741.7142857143,2237.5714285714785,579706.2233920719,2139.980791237089
556,273,580317,582980.0,2238.285714285681,581893.9471600916,2187.7237680196995
3286,274,583603,585175.6428571428,2195.6428571428405,584205.5520232497,2311.604863158078
2682,275,586285,587360.2142857143,2184.5714285714785,586341.9205010507,2136.3684778009774
2598,276,588883,589550.5,2190.285714285681,588454.8134454705,2112.892944419873
2361,277,591244,591759.0714285715,2208.5714285714785,590558.0350916309,2103.221646160353
2549,278,593793,593979.1428571428,2220.071428571362,592697.2143297729,2139.17923814198
1094,279,594887,596240.6428571428,2261.5,594853.3559540075,2156.1416242346168
595,280,595482,598514.9285714285,2274.285714285681,597027.0460338518,2173.690079844324
3347,281,598829,600826.2857142857,2311.3571428571595,599336.6681014937,2309.6220676419325
2710,282,601539,603174.6428571428,2348.3571428571595,601600.0916650094,2263.423563515651
2749,283,604288,605534.0714285715,2359.428571428638,603968.8179826321,2368.726317622699
2668,284,606956,607920.0714285715,2386.0,606403.1089850274,2434.29100239533
2885,285,609841,610318.9285714285,2398.857142857043,608809.8671963188,2406.758211291395
1581,286,611422,612741.7142857143,2422.7857142857974,611245.5474533146,2435.680256995838
735,287,612157,615167.3571428572,2425.6428571428405,613760.3551091402,2514.8076558255125
3805,288,615962,617590.2142857143,2422.8571428571595,616412.2015517451,2651.846442604903
3200,289,619162,620004.4285714285,2414.2142857142026,619023.8191068436,2611.6175550984917
2753,290,621915,622390.4285714285,2386.0,621641.5583590872,2617.7392522436567
2733,291,624648,624708.6428571428,2318.214285714319,624199.6421184088,2558.0837593215983
2729,292,627377,626855.9285714285,2147.285714285681,626580.6063274397,2380.964209030848
1429,293,628806,628968.6428571428,2112.714285714319,628814.4612471089,2233.8549196692184
635,294,629441,631066.7142857143,2098.0714285714785,630938.6698360866,2124.2085889776936
3308,295,632749,633081.5,2014.785714285681,633039.4680039791,2100.798167892499
2589,296,635338,635029.7142857143,1948.214285714319,634972.248027731,1932.7800237518968
2354,297,637692,636922.7142857143,1893.0,636825.2303927679,1852.9823650369653
1719,298,639411,638736.5,1813.785714285681,638522.124481324,1696.8940885560587
492,299,639903,640388.8571428572,1652.3571428571595,640093.3688912117,1571.2444098877022
1097,300,641000,642014.3571428572,1625.5,641567.3220640213,1473.9531728095608
530,301,641530,643646.6428571428,1632.285714285681,642990.4431888341,1423.1211248128675
2639,302,644169,645250.5714285715,1603.928571428638,644495.3475774426,1504.9043886085274
2268,303,646437,646857.0714285715,1606.5,645920.378725496,1425.0311480533564
1980,304,648417,648459.8571428572,1602.785714285681,647387.5132363812,1467.1345108852256
1624,305,650041,650069.1428571428,1609.285714285681,648900.1985906473,1512.6853542660829
469,306,650510,651781.4285714285,1712.285714285681,650485.4563403204,1585.2577496730955
1053,307,651563,653508.3571428572,1726.928571428638,652139.7396847409,1654.283344420488
730,308,652293,655255.1428571428,1746.785714285681,653849.3864421576,1709.64675741666
2911,309,655204,657016.9285714285,1761.785714285681,655710.2486121291,1860.8621699715732
2625,310,657829,658778.7857142857,1761.8571428571595,657529.1384127561,1818.8898006270174
2302,311,660131,660545.2142857143,1766.428571428638,659398.3406499082,1869.2022371520288
1810,312,661941,662340.1428571428,1794.9285714285215,661279.3209001252,1880.9802502170205
1934,313,663875,664249.4285714285,1909.285714285681,663250.7021805355,1971.3812804103363
1302,314,665177,666165.0,1915.5714285714785,665298.2303505369,2047.5281700013438
808,315,665985,668078.2142857143,1913.214285714319,667221.7623190709,1923.5319685339928
2849,316,668834,669993.2142857143,1915.0,669175.5994868554,1953.8371677845716
2269,317,671103,671888.1428571428,1894.9285714285215,671026.8486442793,1851.249157423852
