Compound Name,RT,Score
Octanoic acid,25.482,709,Area,588541.781,tR (min),25.482
Area,41079.582,tR (min),26.101
Compound Name,RT,Score
Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester,26.382,633,Area,176926.014,tR (min),26.382
Compound Name,RT,Score
2H-Pyran-2-one, tetrahydro-6-pentyl-,26.619,765,Area,633050.941,tR (min),26.619
Area,69616.009,tR (min),26.911
Area,50066.549,tR (min),27.009
Area,289367.060,tR (min),27.104
Area,51008.923,tR (min),27.132
Compound Name,RT,Score
Fenretinide,27.239,632,Area,167775.002,tR (min),27.239
Compound Name,RT,Score
2,4-Di-tert-butylphenol,27.356,768,Area,467199.257,tR (min),27.356
Area,38766.942,tR (min),27.484
Compound Name,RT,Score
2-Myristynoyl pantetheine,27.686,665,Area,37504.919,tR (min),27.686
Area,47107.592,tR (min),27.738
Compound Name,RT,Score
1-(4-bromophenyl)-2-(piperazin-1-yl)propan-1-one,27.776,618,Area,68317.277,tR (min),27.776
Compound Name,RT,Score
Cholestan-3-one, cyclic 1,2-ethanediyl aetal, (5β)-,28.062,634,Area,291733.559,tR (min),28.062
Area,37835.911,tR (min),28.271
Area,50372.222,tR (min),28.612
Area,65779.192,tR (min),29.365

Sequence Name,20240603_S24031_BelénFlórez
Sample Name,E3
Area,113764.061,tR (min),2.947
Area,145263.168,tR (min),2.968
Area,154836.096,tR (min),2.983
Area,90171.050,tR (min),2.995
Compound Name,RT,Score
Cyclotrisiloxane, hexamethyl-,3.003,712,Area,544346.894,tR (min),3.003
Area,15648124.191,tR (min),3.782
Area,10688200.423,tR (min),3.889
Area,5717009.959,tR (min),4.094
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,5.482,646,Area,245454.568,tR (min),5.482
Area,47344.706,tR (min),5.493
Area,58642.432,tR (min),5.533
Area,113701.120,tR (min),5.568
Area,289598.154,tR (min),5.592
Compound Name,RT,Score
Cyclotetrasiloxane, octamethyl-,5.628,821,Area,1298007.207,tR (min),5.628
Compound Name,RT,Score
(2-Nitrophenyl)methanamine, 2TMS derivative,6.643,601,Area,5784.739,tR (min),6.643
Compound Name,RT,Score
Tetradecane, 2,6,10-trimethyl-,6.816,681,Area,3614128.876,tR (min),6.816
Area,4005505.209,tR (min),7.370
Area,511138.601,tR (min),8.198
Area,113765.403,tR (min),8.400
Compound Name,RT,Score
Octaethylene glycol monododecyl ether,8.726,602,Area,386589.719,tR (min),8.726
Area,366445.190,tR (min),8.828
Area,337116.309,tR (min),9.436
Compound Name,RT,Score
4-(2-amino-1-hydroxypropyl)phenol, 2TMS derivative,9.646,791,Area,16182158.189,tR (min),9.646
Area,207893.059,tR (min),10.123
Area,10072.707,tR (min),10.853
Area,32932.306,tR (min),11.880
Compound Name,RT,Score
Eicosane,12.371,602,Area,73070.060,tR (min),12.371
Compound Name,RT,Score
2,5-Octanedione,12.823,666,Area,523839.768,tR (min),12.823
Area,14636672.344,tR (min),13.543
Compound Name,RT,Score
2-Nonanone,14.116,695,Area,311765.983,tR (min),14.116
Area,147281.159,tR (min),14.215
Area,231962.133,tR (min),14.221
Area,473906.056,tR (min),14.491
Area,75088.566,tR (min),14.715
Area,21843.694,tR (min),14.792
Area,190954.695,tR (min),15.493
Area,237909.093,tR (min),16.251
Area,337630.943,tR (min),16.344
Compound Name,RT,Score
2,3-Dimethylhydroquinone, bis(trimethylsilyl) ether,16.59,601,Area,21296.236,tR (min),16.590
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,16.782,776,Area,6773985.736,tR (min),16.782
Area,69551.076,tR (min),17.050
Area,76791.875,tR (min),17.192
Area,60520.027,tR (min),17.204
Area,4553.251,tR (min),17.299
Compound Name,RT,Score
2,5-Dihydroxybenzaldehyde, 2TMS derivative,17.569,605,Area,239069.064,tR (min),17.569
Area,41873.296,tR (min),17.819
Area,64548.421,tR (min),17.831
Compound Name,RT,Score
N-(2-Methoxy-5-nitrophenyl)acetamide, TMS derivative,18.478,603,Area,8685.262,tR (min),18.478
Area,405500.588,tR (min),18.842
Area,749948.044,tR (min),19.363
Area,1237783.380,tR (min),19.497
Area,1465157.823,tR (min),19.855
Area,36173.727,tR (min),20.215
Area,913.508,tR (min),20.881
Area,509559.833,tR (min),21.564
Area,912007.141,tR (min),21.567
Area,11031.730,tR (min),21.800
Area,183276.168,tR (min),22.213
Area,181461.854,tR (min),22.302
Area,177200.674,tR (min),22.353
Compound Name,RT,Score
Hexanoic acid,22.559,691,Area,1937061.400,tR (min),22.559
Area,375109.541,tR (min),22.926
Compound Name,RT,Score
Dimethyl sulfone,23.484,859,Area,534455.750,tR (min),23.484
Compound Name,RT,Score
Benzoic acid, 4-methyl-2-trimethylsilyloxy-, TMS,23.669,603,Area,609328.479,tR (min),23.669
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,24.797,682,Area,64373.391,tR (min),24.797
Compound Name,RT,Score
Octanoic acid,25.479,821,Area,1494185.281,tR (min),25.479
Area,37589.934,tR (min),26.101
Compound Name,RT,Score
Nonanoic acid,26.378,784,Area,1169074.000,tR (min),26.378
Compound Name,RT,Score
2H-Pyran-2-one, tetrahydro-6-pentyl-,26.619,756,Area,533034.988,tR (min),26.619
Area,56665.437,tR (min),26.912
Compound Name,RT,Score
n-Decanoic acid,27.104,672,Area,927111.053,tR (min),27.104
Area,105901.095,tR (min),27.219
Compound Name,RT,Score
2,4-Di-tert-butylphenol,27.357,851,Area,1504130.721,tR (min),27.357
Area,94195.773,tR (min),27.479
Compound Name,RT,Score
1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one,,28.063,607,Area,334532.858,tR (min),28.063
Area,34788.021,tR (min),28.278
Area,34033.149,tR (min),28.404
Area,57447.675,tR (min),28.588
Area,67283.675,tR (min),28.614
Area,58097.042,tR (min),29.366
Area,60866.963,tR (min),29.370

Sequence Name,20240603_S24031_BelénFlórez
Sample Name,E4
Area,83834.963,tR (min),2.954
Area,111697.344,tR (min),2.966
Compound Name,RT,Score
Cyclotrisiloxane, hexamethyl-,2.98,771,Area,748748.988,tR (min),2.980
Area,15774859.444,tR (min),3.782
Area,10704796.339,tR (min),3.911
Area,5758091.365,tR (min),4.094
Area,651746.188,tR (min),5.498
Area,753294.360,tR (min),5.538
Compound Name,RT,Score
Cyclotetrasiloxane, octamethyl-,5.615,861,Area,3574369.594,tR (min),5.615
Compound Name,RT,Score
β-Hydroxyethyltheophylline tert-butyldimethylsilyl ether,6.64,606,Area,76921.780,tR (min),6.640
Compound Name,RT,Score
Cyclopentanol, 2-methyl-, trans-,6.801,702,Area,6522255.033,tR (min),6.801
Compound Name,RT,Score
α-D-Glucopyranoside, methyl 2-(acetylamino)-2-deoxy-3-O-(tr,7.321,636,Area,4110728.273,tR (min),7.321
Compound Name,RT,Score
Eicosanoic acid, phenylmethyl ester,8.187,602,Area,669144.298,tR (min),8.187
Compound Name,RT,Score
6-Aminonicotinic acid,N,O di-TMS,8.336,608,Area,105202.991,tR (min),8.336
Area,423808.710,tR (min),8.746
Area,386169.352,tR (min),8.917
Compound Name,RT,Score
Heptanal,9.39,619,Area,803839.559,tR (min),9.390
Compound Name,RT,Score
p-Trimethylsilyloxyphenyl-bis(trimethylsilyloxy)ethane,9.629,797,Area,22871646.980,tR (min),9.629
Area,208586.150,tR (min),10.085
Area,169658.979,tR (min),10.772
Area,71767.296,tR (min),11.015
Area,143874.932,tR (min),11.890
Area,35226.115,tR (min),12.297
Area,51114.701,tR (min),12.687
Area,70611.167,tR (min),12.695
Area,556459.424,tR (min),12.792
Area,558128.101,tR (min),12.822
Area,772977.318,tR (min),12.828
Area,14295451.932,tR (min),13.522
Area,244168.772,tR (min),14.110
Area,289851.589,tR (min),14.118
Compound Name,RT,Score
Nonanal,14.217,824,Area,2494996.612,tR (min),14.217
Area,55370.596,tR (min),14.306
Area,568160.229,tR (min),14.483
Area,86153.800,tR (min),14.754
Area,464443.431,tR (min),14.829
Compound Name,RT,Score
1-Nonen-3-ol,15.534,643,Area,650431.535,tR (min),15.534
Area,94411.758,tR (min),15.797
Area,48497.943,tR (min),15.822
Area,192077.224,tR (min),16.245
Area,297342.817,tR (min),16.353
Area,24242.164,tR (min),16.580
Compound Name,RT,Score
2,6-Dihydroxyacetophenone, 2TMS derivative,16.782,764,Area,6384958.719,tR (min),16.782
Area,16466.658,tR (min),17.175
Area,37528.365,tR (min),17.296
Area,172881.964,tR (min),17.314
Area,234453.923,tR (min),17.571
