year,month,day,hour,height
2024,5,28,11,2079
2024,5,28,12,1736
2024,5,28,13,1433
2024,5,28,14,1221
2024,5,28,15,1167
2024,5,28,16,1228
2024,5,28,17,1386
2024,5,28,18,1601
2024,5,28,19,1849
2024,5,28,20,2082
2024,5,28,21,2233
2024,5,28,22,2291
2024,5,28,23,2288
2024,5,29,0,2223
2024,5,29,1,2163
2024,5,29,2,2128
2024,5,29,3,2161
2024,5,29,4,2256
2024,5,29,5,2406
2024,5,29,6,2570
2024,5,29,7,2702
2024,5,29,8,2757
2024,5,29,9,2728
2024,5,29,10,2591
2024,5,29,11,2354
2024,5,29,12,2060
2024,5,29,13,1746
2024,5,29,14,1479
2024,5,29,15,1292
2024,5,29,16,1217
2024,5,29,17,1270
2024,5,29,18,1439
2024,5,29,19,1684
2024,5,29,20,1938
2024,5,29,21,2171
2024,5,29,22,2336
2024,5,29,23,2406
2024,5,30,0,2367
2024,5,30,1,2296
2024,5,30,2,2213
2024,5,30,3,2141
2024,5,30,4,2123
2024,5,30,5,2193
2024,5,30,6,2296
2024,5,30,7,2410
2024,5,30,8,2546
2024,5,30,9,2646
2024,5,30,10,2650
2024,5,30,11,2559
2024,5,30,12,2371
2024,5,30,13,2112
2024,5,30,14,1834
2024,5,30,15,1570
2024,5,30,16,1384
2024,5,30,17,1314
2024,5,30,18,1380
2024,5,30,19,1560
2024,5,30,20,1807
2024,5,30,21,2107
2024,5,30,22,2359
2024,5,30,23,2520
2024,5,31,0,2573
2024,5,31,1,2522
2024,5,31,2,2399
2024,5,31,3,2251
2024,5,31,4,2099
2024,5,31,5,2036
2024,5,31,6,2040
2024,5,31,7,2108
2024,5,31,8,2229
2024,5,31,9,2398
2024,5,31,10,2521
2024,5,31,11,2583
2024,5,31,12,2544
2024,5,31,13,2392
2024,5,31,14,2162
2024,5,31,15,1912
2024,5,31,16,1653
2024,5,31,17,1476
2024,5,31,18,1438
2024,5,31,19,1508
2024,5,31,20,1718
2024,5,31,21,2012
2024,5,31,22,2324
2024,5,31,23,2599
