X,Y,Z,C
-560.984,-182.646,-751.563,0.00327484
-599.637,-151.271,-771.889,0.00275368
-617.211,-115.373,-764.234,0.00571997
-630.187,-103.399,-780.418,0.00534431
-638.445,-105.391,-773.332,0.00667548
-618.229,-119.932,-789.61,0.00352212
-641.777,-101.514,-796.583,0.00446744
-610.866,-129.536,-771.347,0.00433983
-617.236,-120.614,-753.022,0.00544632
-637.285,-99.7586,-809.099,0.00334748
-672.012,-68.9285,-808.32,0.00911183
-650.401,-97.0177,-768.76,0.00638458
-641.406,-95.2311,-803.197,0.00382625
-650.588,-93.2428,-785.814,0.00538316
-661.539,-78.7185,-808.25,0.00640011
-654.477,-79.6317,-810.929,0.00529046
-663.414,-81.4586,-774.579,0.00705586
-661.927,-81.59,-786.749,0.0078267
-648.859,-84.6337,-810.386,0.00393049
-645.489,-90.6255,-807.792,0.00398425
-657.584,-82.9809,-792.52,0.00755212
-669.527,-63.7096,-790.055,0.0112512
-650.654,-88.7953,-792.096,0.00567584
-605.653,-143.396,-779.085,0.00272984
-731.083,-16.658,-754.852,0.0260432
-733.434,-12.4263,-760.242,0.0262055
-741.06,1.4846,-804.605,0.0175929
-731.018,-10.9078,-789.658,0.019897
-748.789,-0.458284,-757.252,0.0257072
-745.712,-3.095,-763.611,0.0261075
-736.504,-3.59451,-807.845,0.0165303
-729.329,-8.0657,-804.653,0.0161472
-728.451,-14.0744,-774.378,0.0215116
-722.483,-18.966,-787.838,0.0188227
-727.671,-12.4278,-781.809,0.020983
-712.98,-28.9968,-812.395,0.010487
-723.195,-12.4778,-802.325,0.0171051
-690.446,-63.6708,-757.239,0.0137913
-723.049,-21.3634,-756.582,0.0227353
-693.877,-51.0355,-764.279,0.0152222
-706.238,-38.5,-786.117,0.0149813
-690.461,-50.4281,-785.106,0.014126
-710.954,-35.0117,-767.641,0.0153773
-714.251,-26.3367,-793.263,0.0163184
-700.434,-41.6173,-790.109,0.0143201
-696.643,-52.7397,-750.216,0.0158325
-700.899,-46.9143,-749.493,0.0177345
-717.386,-21.3301,-771.852,0.0175076
-682.57,-50.1641,-813.777,0.0102419
-717.375,-16.863,-801.244,0.0159926
-693.252,-47.2343,-777.192,0.0165135
-696.236,-41.0958,-774.705,0.0161584
-707.282,-28.1417,-797.265,0.0145823
-716.93,-10.4045,-814.281,0.0130059
-689.377,-40.8104,-803.98,0.0124782
-681.648,-52.9633,-789.803,0.0127774
-674.171,-58.2568,-787.991,0.0116877
-677.36,-62.8217,-772.914,0.013691
-686.159,-58.7015,-772.737,0.0145224
-703.638,-38.4514,-805.985,0.012948
-690.444,-38.2078,-818.855,0.0106634
-687.104,-46.9033,-798.483,0.0130002
-678.969,-59.4861,-802.521,0.0106214
-665.364,-75.952,-813.984,0.00581675
-667.157,-71.044,-822.847,0.00663286
-679.304,-57.2447,-815.713,0.0100351
-669.686,-68.6023,-796.822,0.0107219
-666.571,-76.8346,-766.986,0.00701542
-670.108,-69.2193,-770.653,0.00965775
-686.49,-44.3489,-816.507,0.0105677
-664.845,-69.6409,-791.188,0.0101209
-816.64,76.4848,-760.903,0.00708287
-802.831,53.3702,-770.582,0.00805148
-805.009,64.1829,-791.44,0.00937314
-759.664,23.1939,-772.832,0.0229311
-768.153,27.6454,-769.867,0.0220858
-765.441,22.07,-758.771,0.023284
-772.263,25.1204,-752.615,0.021963
-753.71,6.73307,-754.686,0.0234838
-758.065,13.5121,-749.946,0.0273078
