debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2017-03-09;2017-03-11;;;France;Paris;Université Versailles Saint-Quentin - Laboratoire Professions Institutions Temporalités (PRINTEMPS);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-09;2017-05-12;;;Espagne;Cadix;Université de Cadix;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-05-15;2017-07-15;;;Grèce;Volos;Université de Thessalie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-03-09;2017-03-12;;;France;Marseille / Aix en Provence;Université d'Aix-Marseille;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-14;2017-03-16;;;France;Paris et Lyon;14 mars - Paris - Institut Henri Poincaré (Société Française de Statistique)15-16 mars - Lyon - IUT Lumière - Université Lyon II, Campus Porte des A;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-22;2017-03-27;;;Italie;Rome;;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-04-30;2017-05-06;;;Portugal;Lisbonne;Calouste Gulbenkian Foundation, Lisbon;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-06-08;2017-07-24;;;Grèce;Paros, Athènes, Palaikastro;"Mission archéologique de Despotiko (Paros); Ecole française d'Athènes; Mission archéologique d'Itanos (Crète)";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-07-30;2017-08-30;;;Costa Rica;San Jose;UNIVERSIDAD DE COSTA RICACiudad de la InvestigaciónFacultad de Ciencias SocialesEscuela de Ciencias PolíticasTorre E, Sexto Piso;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-14;2017-05-20;;;Canada;Montréal;Congrès CoSPoF-SQSP 2017Université du Québec à Montréal (UQAM);NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-03-13;2017-03-14;;;France;Paris;Centre de Sociologie des Organisations (CSO);NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-27;2017-03-28;;;France;Paris;Université Paris Ouest Nanterre;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-16;2017-03-23;;;France;Paris/Tours;Archives Nationales, BnF, bibliothèque municipale Versailles et Université François Rabelais Tours;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2017-03-26;2017-04-25;;;chine;jinan;shandong university;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-06-22;2017-06-24;;;Suisse;Fribourg;Université de Fribourg;NULL;L&L;Département de Langues et Lettres;LTC
2017-04-19;2017-04-24;;;Etats-Unis;New York;ONU -siège central;NULL;TI;Département de Traduction et Interprétation (ISTI-Cooremans);LTC
2017-03-17;2017-03-17;;;France;Paris;EHESS (Ecole des Hautes Etudes en Sciences Sociales);NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-03-23;2017-03-23;;;France;Paris;Sciences Po;NULL;ScPOL;Département de Sciences Politiques;PHILOSCSOC
2017-05-17;2017-05-21;;;Allemagne;Mainz;Université Johannes Gutenberg;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-05-17;2017-05-21;;;Allemagne;Mainz (Mayence);Johannes Gutenberg Unversität;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-14;2017-03-17;;;Finlande;Helsinki;Finnish Academy of Sciences;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-20;2017-03-22;;;Suisse;Genève;Haute Ecole de Travail Social;NULL;ScSOC;Département de Sciences Sociales et des sciences du travail;PHILOSCSOC
2017-03-16;2017-03-19;;;France;Paris;Bibliothèque Nationale de France;NULL;L&L;Département de Langues et Lettres;LTC
