debut;fin;pays_origine;ville_origine;pays;ville;lieu;mode_deplacement;acronyme;libelle;faculte
2014-07-18;2014-07-25;;;Allemagne;Berlin;Freie Universität Berlin;NULL;L&L;Département de Langues et Lettres;LTC
2014-04-23;2014-04-28;;;Canada;Montréal;Université du Québec à Montréal;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-05;2014-04-15;;;Italie;Belluno,Ferrare, Parme, Bologna;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-05;2014-04-15;;;Italie;Modena;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-08;2014-04-12;;;italie;rome;bibliothèques nationale à rome;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-04-15;2014-04-25;;;Guinée et Togo;Conakry et Lomé;Comité national de bioéthique de Guinée et Comité national de bioéthique du Togo;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-04-09;2014-04-10;;;France;Paris;Paris 1;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-22;2014-08-09;;;Grèce;Palaikastro (Sitia);Ecole belge d'Athènes - Université libre de Bruxelles;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-17;2014-04-27;;;Espagne;Puente Viesgo;-;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-18;2014-06-22;;;France;Les Eyzies;Musée national de Préhistoire.;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-23;2014-06-25;;;UK;oxford;univ. d'Oxford;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-05-08;2014-05-17;;;Jordanie;Pétra;IFPO (Institut Français du Proche Orient)/ ULB;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-28;2014-07-24;;;Grèce;Palekastro Crête;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-29;2014-05-01;;;Danemark;Aarhus;Aarhus University;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-28;2014-07-26;;;Grèce;Itanos, Paleikastro, Crète;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-11;2014-06-13;;;Danemark;Copenhague;Université de Copenhague;NULL;L&L;Département de Langues et Lettres;LTC
2014-04-28;2014-04-28;;;France;Paris;Paris I;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-13;2014-05-13;;;France;Paris;Paris I;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-27;2014-05-21;;;Jordanie;Amman, Petra;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-24;2014-04-26;;;Autriche;Vienne;Vienna University, Universitätsring 1, 1010 Vienna, Austria;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-03-25;2014-03-30;;;Brésil;S. Paulo/Brasilia/Rio;USP, Agences fédérales, FGV;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-05;2014-05-07;;;Roumanie;Bucarest;Union des Cinéastes roumains (UCIN);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-15;2014-05-16;;;France;Strasbourg;Université de StrasbourgFaculté des Arts;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-04-28;2014-04-30;;;Espagne;Madrid;UNED (Madrid);NULL;L&L;Département de Langues et Lettres;LTC
2014-07-18;2014-07-25;;;Allemagne;Berlin;Freie Universität Berlin;NULL;L&L;Département de Langues et Lettres;LTC
2014-04-28;2014-05-04;;;Estonie;Tartu;University of Tartu/European Association for the Study of Culture, Nature & Environment;NULL;L&L;Département de Langues et Lettres;LTC
2014-04-28;2015-05-02;;;France;Paris;BNF.;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-04;2014-06-07;;;Autriche;Graz;Université de Graz;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-05;2014-07-05;;;Turquie;Tarse;Fouilles archéologiques de Tarsus / Gözlükule;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-30;2014-04-30;;;France;Paris;Institut français de presse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-24;2014-06-01;;;République démocratique du Congo;Kinshasa;Académie des beaux-arts de Kinshasa;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-27;2014-07-31;;;Grèce;Palaikastro, Sitias (Crète);Ecole belge d'Archéologie (EBSA);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-18;2014-05-20;;;Pays Bas;Amsterdam;Social Media and the Transformation of Public Space conference. The conference will be held from 18 to 20 June 2014 at the University of Amsterdam and;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-08;2014-05-11;;;espagne;madrid;universidad autonoma;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-05-12;2014-05-14;;;Allemagne;Hamburg;Universität Hamburg;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-19;2014-05-22;;;Royaume Uni;Liverpool;University of Liverpool;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-26;2014-05-28;;;Pays-Bas;Amersfoort;Cultural Heritage Agency of the NetherlandsAmersfoort, The Netherlands;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2016-07-31;2014-08-15;;;Brésil;Natal;29eme congrès bisannuel des anthropologues brésiliens (RBA);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-06;2014-05-06;;;france;lille;univ. de Lille 2;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-18;2014-06-20;;;Pays Bas;Amsterdam;Social Media and the Transformation of Public Space conference. The conference will be held from 18 to 20 June 2014 at the University of Amsterdam and;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-25;2014-05-31;;;france;tours;Centre d'études supérieures de la Renaissance;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-15;2014-05-16;;;Allemagne;Heidelberg;Universität Heidelberg;NULL;L&L;Département de Langues et Lettres;LTC
2014-05-12;2014-05-16;;;France;Strabsourg;Archives Départementales du Bas-RhinUniversité de Strasbourg;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-05-07;2014-05-13;;;France;Tours;Centre d'Etudes supériueres de la Renaiassance;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-04-24;2014-04-26;;;Allemagne;Münster;Université Münster;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-23;2014-06-09;;;France;Tours;Centre d'Etudes supérieures de la Renaissance;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-30;2014-05-30;;;France;Lille;Université de Lille 3;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-22;2014-10-06;;;"République démocratique du Congo : Afrique du Sud ; République du Congo";"Kinsasha ; Johanesburg ; Brazzaville";"Institut des Musées nationaux du Congo (RDC) ; Université du Witwatersrand (Afr. du Sud); Direction générale du patrimoine et des archives (République";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-03;2014-06-06;;;France;Paris;Université Sorbonne Nouvelle - Paris 3;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-06-13;2014-05-26;;;Canada;Vancouver;University of British Columbia;NULL;L&L;Département de Langues et Lettres;LTC
2014-05-15;2014-05-17;;;France;Paris;American University of Paris (lieu d'organisation de la conférence internationale de l'IALJS);NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-16;2014-05-16;;;France;Valenciennes;Harmonia Sacra/UCL;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-16;2014-05-17;;;France;Paris;;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2015-06-01;2014-06-08;;;Chine;Pékin;Université de Pékin;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-26;2014-05-29;;;Pays Bas;Amersfoort;Cultural Heritage Agency of the Netherlands;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-19;2014-05-24;;;Allemagne;Munich;- Institut für Ägyptologie und Koptologie der Ludwig-Maximilians-Universität München- Staatlichen Museum Ägyptischer Kunst München;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-01;2015-03-31;;;Allemagne;Cologne;Institut für Afrikanistik und Ägyptologie -  Université de Cologne;NULL;L&L;Département de Langues et Lettres;LTC
2014-05-22;2014-05-23;;;France;Lyon;Université Lyon 2;NULL;L&L;Département de Langues et Lettres;LTC
2014-05-20;2014-05-24;;;Italie;Cosenza;Università della Calabria;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-05-21;2014-05-21;;;France;Paris;CNRS;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-04;2014-06-04;;;France;Paris;Sorbonne;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-09;2014-06-12;;;Tchéquie;Prague;;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-14;2014-06-14;;;France;Paris;EPHE;NULL;L&L;Département de Langues et Lettres;LTC
2014-07-06;2014-07-13;;;Espagne;Barcelone;;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-09;2014-06-20;;;Gabon et Tchad;Libreville et Ndjamena;"UNESCO ""Renforcement des capacités des Etats Membres en Afrique pour gérer les défis bioéthiques à travers le projet d'Assistance aux Comités de Bioét";NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-10;2014-06-12;;;Fr;Paris;Revue Hermes;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-02;2014-07-28;;;Inde;Delhi;Jamia Millia universityGangtok University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-08-27;2014-08-31;;;Finlande;Helsinki;Université de Helsinki;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-16;2014-06-28;;;France;Paris;Bibliothèque National de France;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-22;2014-05-26;;;États Unis;Seatte;International Communication Association;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-06-03;2014-06-08;;;Chine;Pekin;Communication University of China;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-05-24;2014-06-05;;;France;Tours et Dijon;Centre Etudes Supérieures de la Renaissance  (Université François-Rabelais-CNRS)Université de Dijon;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-26;2014-05-31;;;France;Clermont-Ferrand;Archives départementales du Puy de Dôme;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-09;2014-06-14;;;France;Paris et Strasbourg;Archives Nationales, BNF, entretien à Strasbourg;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-05-23;2014-06-02;;;Japon;Hiroshima;Université de la ville d'Hiroshima;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-13;2014-06-16;;;Bahrein;Manama;Ministère de la cultureLe Ministère de la culture du Royaume de Bahreïn a lancé un projet de « Transfert des savoirs » à deux volets : la traduction;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-05-27;2014-05-28;;;France;Paris;UNESCO, Paris;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-23;2014-05-24;;;France;Nantes;Université de Nantes;NULL;L&L;Département de Langues et Lettres;LTC
2014-05-26;2014-05-28;;;France;Paris;Lille III - INHA;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-26;2014-06-02;;;Etats Unis;Philadelphia et Seattle;UPenn et University of Washington;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-08-28;2014-09-03;;;Slovaquie;Kosice;Pavol Jozef Savarik University;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-04;2014-06-06;;;France;Montpellier;Maison des Sciences de l'Homme;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-05;2014-06-08;;;Roumanie;Cluj;Université Babes BolayiFestival International du Film Transylvania;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-08-31;2014-09-07;;;Turquie;Corum;Hittite University;NULL;L&L;Département de Langues et Lettres;LTC
2014-08-26;2014-09-02;;;ITALIE;BARI;UNIVERSITE DE BARI - CONGRES DE L'ASSOCIATION INTERNATIONALE DES PROFESSEURS D'ITALIEN;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-26;2014-09-02;;;ITALIE;BARI;UNIVERSITE DE BARI;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-06;2014-06-06;;;France;Paris;Institut d'histoire et de philosohie des sciences et des techniques;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-03-25;2014-03-25;;;France;Paris;Ecole Normale Supérieure45, rue d'UlmParis 5;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-11;2014-06-13;;;Suisse;Bâle;9th International Congress on the Archaeology of the Ancient Near East;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-14;2014-06-15;;;Angleterre;LOndres;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-20;2014-06-21;;;Italie;Rome;Centro Pio Rajna. Centro di Studi per la ricerca letteraria, linguistica, filologica.;NULL;L&L;Département de Langues et Lettres;LTC
2013-05-26;2013-05-28;;;Suisse;Genève;Université de Genève;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-18;2014-06-18;;;France;Paris;Université Paris VII - Diderot;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-06-11;2014-06-12;;;France;Paris;FIDH;NULL;L&L;Département de Langues et Lettres;LTC
2014-08-15;2014-09-15;;;Italie;Alba Fucens;Soprintendenza per i beni archeologici dell'Abruzzo;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-27;2014-06-28;;;Espagne;Bilbao;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-07-24;2014-08-08;;;Espagne;Puente Viesgo;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-31;2014-09-06;;;Espagne;Burgos;Université de Burgos.;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-15;2014-09-15;;;Italie;Alba Fucens;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-30;2014-09-14;;;Italie;Alba Fucens;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-23;2014-07-11;;;Belgique;Farciennes;Stage de fouilles - CReA Patrimoine ULB;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-07-13;2014-08-09;;;France;Glux-en-Glenne;BIBRACTE - Centre archéologique européen;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-23;2014-07-11;;;Belgique;Aiseau-Presles;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-01;2014-09-15;;;Belgique;Aiseau-Presles;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-06-24;2014-06-27;;;Royaume-Uni;Londres;Tate Gallery;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-28;2014-06-30;;;;;;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-25;2014-07-01;;;Canada;Montréal;UQAM, HEC Montréal;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-05-28;2014-05-29;;;France;Paris;Ecole des Hautes Etudes en Sciences Sociales;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-12;2014-10-15;;;Espagne;Gérone;Conseil International des Archives;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-03;2014-10-04;;;France;Paris;Rencontre des jeunes chercheurs en études africaines (JCEA);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-07-02;2014-07-07;;;Royaume Uni;Birmingham;université de Birmingham;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-01;2014-09-10;;;CHINE;BEIJING;RENMIN UNIVERSITY OF CHINA;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-17;2014-09-19;;;Allemagne;Tübingen;Eberhard Karls Universität;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-11-17;2014-11-18;;;Allemagne;Hanovre;Leibniz Universität Hannover;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-15;2014-06-21;;;Canada;Montréal;Société canadienne d'études du XVIIIe siècle;NULL;L&L;Département de Langues et Lettres;LTC
2014-06-29;2015-06-01;;;France;Bordeaux;Université Montaigne Bordeaux III;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-07-02;2014-07-07;;;Angleterre;Londres et Brimingham;université de Birmingham;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-21;2014-08-23;;;Danemark;Copenhague;Université de Copenhague;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-10;2014-09-11;;;Royaume-Uni;Londres;University College London;NULL;L&L;Département de Langues et Lettres;LTC
2014-07-07;2014-07-09;;;france;paris;Archives de la Préfecture de Police de Paris, Archives Nationales, Archives du Ministère des Affaires Etrangères;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-09-09;2014-09-13;;;Espagne;Grenade;Université de Grenade (Asociación Española de Estudios Literarios Hispanoamericanos, AEELH);NULL;L&L;Département de Langues et Lettres;LTC
2014-06-29;2014-07-04;;;France;Bordeaux;Science po Bordeaux;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-06;2014-07-09;;;Allemagne;Munich;Université de Munich - LMUInstitute of Communication Studies and Media Research;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-20;2014-07-30;;;Burundi;Bujumbura;Université du BurundiMaster spécialisé en Journalisme;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-10-08;2014-10-19;;;Russie;Saint-Pétersbourg;Université d'Etat de Saint-Pétersbourg;NULL;L&L;Département de Langues et Lettres;LTC
2014-07-04;2014-07-09;;;Allemagne;Munich;Ludwig-Maximilians-Universität;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-04;2014-07-09;;;Allemagne;Munich;Ludwig-Maximilians-Universität;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-23;2014-07-31;;;Burundi;Bujumbura;Institut Panos Grands Lacs;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-14;2014-08-08;;;France;Glux-en-Glenne;Centre archéologique européen du Mont Beuvray - Bibracte;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-31;2014-09-08;;;France;Narbonne;Université de Montpellier 3Musée archéologique de Narbonne;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-07-16;2014-07-20;;;Royaume-Uni;Oxford;Oxford University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-07-20;2014-08-08;;;italie;rome et perugia;;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-08-16;2014-08-31;;;italie;rome et perugia;;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2014-08-10;2014-08-14;;;France;Tours;Centre Etudes Supérieures de la Renaissance, Ricercar;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-20;2014-08-27;;;Niger;NIamey;;NULL;L&L;Département de Langues et Lettres;LTC
2014-08-16;2014-09-15;;;Jordanie;Amman;Council for British Research in the Levant (CBRL);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-27;2014-08-31;;;Finlande;Helsinki;Université d'Helsinki;NULL;L&L;Département de Langues et Lettres;LTC
2014-11-19;2014-11-22;;;Espagne;Barcelone;Universitat Oberta de Catalunya;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-01;2014-10-04;;;Croatie;Dubrovnik;Université de Zagreb;NULL;L&L;Département de Langues et Lettres;LTC
2014-11-04;2014-11-07;;;Espagne;;;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-02;2014-12-10;;;Etats-Unis;Berkeley;University of California, Berkeley;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-14;2014-09-19;;;Espagne;La Laguna;Universita de la Laguna (Antiguo Convento de Santo Domingo de Guzmán);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-11-27;2014-11-30;;;Italie;Modène;"Università di Modena e Reggio Emilia DIEF - Dipartimento di Ingegneria ""Enzo Ferrari""";NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-12-02;2014-12-07;;;Espagne;Madrid;Heritage Cluster of the International Campus of Excellence (CEI) - Campus Moncloa in Madrid, Spain;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-08-28;2014-09-02;;;Finland;Helsinki;Université de Helsinki /EAM;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-08;2014-10-14;;;Egypte;Alexandrie;Bibliotheca Alexandrina & Université d'Alexandrie;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-14;2014-10-17;;;France;Le Mans;Université du Mans;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-04;2014-09-05;;;France;Paris;;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-09-09;2014-09-12;;;Espagne;Granada;Universidad de Granada;NULL;L&L;Département de Langues et Lettres;LTC
2014-11-05;2014-08-08;;;Espagne;León;Universidad de León;NULL;L&L;Département de Langues et Lettres;LTC
2014-08-27;2014-08-31;;;Finlande;Helsinki;Université d'Helsinki;NULL;L&L;Département de Langues et Lettres;LTC
2014-11-12;2014-11-15;;;France;Paris;Colloque international: Rwanda 1994-2014 : écriture de l'histoire et constructions mémorielles;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-04;2014-10-08;;;Jordanie;Amman- Pétra;Institut français d'Archéologie du Proche-Orient;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-22;2014-09-27;;;france;tours;Centre d'Etudes Superieurès de la Renaissance(Université François-Rabelais);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-16;2014-09-19;;;Italie;Rome;École française d'Athènes;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-22;2014-10-25;;;Pays Bas;Amsterdam;Universiteit van Amsterdam;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-27;2014-10-30;;;France;Poitiers;Université de Poitiers8, rue René Descartes86022 Poitiers cedex;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-23;2014-10-24;;;La Hollande;Amsterdam;Universiteit van Amsterdam;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-13;2014-11-06;;;Jordanie;Amman- Pétra;Department of Antiquities of Jordan (Amman)Institut Français d'archéologie du Proche-Orient (Amman);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-17;2014-09-19;;;R.F.A.;Aix-la-Chapelle;RWTH Aachen Universität;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-17;2014-09-19;;;R.F.A.;Aix-la-Chapelle;RWTH Aachen Universität;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-09-27;2014-09-30;;;italie;naples;Univ. Frederico II;NULL;PHILO;Département de Philosophie et de Sciences des religions;PHILOSCSOC
2013-01-29;2013-01-29;;;France;Paris;Archives Nationales (CARAN);NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-18;2014-09-21;;;Allemagne;Heidelberg;Universität Heidelberg;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-30;2014-10-04;;;Espagne;Madrid;Universidad autónoma de Madrid;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-16;2014-09-20;;;Italie (Sicile);Noto;Universita degli Studii di Messina;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-21;2014-09-24;;;Etats Unis;Boston;Harvard;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-10-10;2014-10-14;;;Etats Unis;Austin;University of Texas;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-09-23;2014-12-21;;;France;Paris;Fondation Biermans-Lapôtre / Maison des étudiants belges et luxembourgeois;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2013-03-17;2013-04-13;;;France;Lille;Archives départementales du Nord / Archives municipales de Lille / Archives municipales de Saint-Omer;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-19;2014-09-22;;;Chine;Pékin;Communication University of China;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-09-26;2014-10-04;;;Australie;Brisbane;Queensland University of Technologies (QUT);NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-10-04;2014-10-08;;;Nouvelle Zélande;Christchurch;University of Canterbury;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-09-22;2014-09-24;;;Royaume-Uni;St-Andrews;Université de St-Andrews, Ecosse;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-09-24;2014-09-26;;;France;Paris;Ecole Normale Supérieure;NULL;L&L;Département de Langues et Lettres;LTC
2014-09-23;2014-09-26;;;France;Aix-en-provence;université d'Aix-Marseille;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-10-07;2014-10-09;;;France;Vallon Pont d'Arc;Espace de restitution de la grotte Chauvet Pont d'Arc.;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-25;2014-11-02;;;Espagne;Puente Viesgo;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-09-27;2014-10-01;;;POLOGNE;Szczecin Pobierowo;Université de Szczecin;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-15;2014-11-01;;;Jordanie;Pétra;Mission archéologique française de Pétra;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-04;2014-10-23;;;Jordanie;Pétra;;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-11-05;2014-11-09;;;Royaume Uni;Liverpool;Liverpool John Moores University;NULL;SIC;Département des Sciences de l'information et de la communication;LTC
2014-09-03;2014-09-12;;;Roumanie;Bucarest;Université de Bucarest;NULL;L&L;Département de Langues et Lettres;LTC
2014-10-07;2014-10-10;;;France;Lille;Lille 3;NULL;HAA;Département d'Histoire, arts et archéologie;PHILOSCSOC
2014-10-09;2014-10-14;;;Etats-Unis;Phoenix;Schoolof International Letters and Cultures at Arizona StateUniversity;NULL;L&L;Département de Langues et Lettres;LTC
2015-01-18;2015-04-24;;;France;Paris;"Laboratoire de recherche EA 4395 ""Lettres, Idées, Savoirs"", de l'Université Paris-Est Créteil Val de Marne";NULL;L&L;Département de Langues et Lettres;LTC
2014-10-01;2014-10-03;;;france;amiens;université d'amiens;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-11-08;2014-11-14;;;canada;montréal;Université de Montréal;NULL;DECA;Décanat de la Faculté de Lettres, Traduction et Communication;LTC
2014-10-22;2014-10-29;;;Russie;Moscou;Université d'Etat de MoscouFaculté de Philologie;NULL;L&L;Département de Langues et Lettres;LTC
